RDS_E_t           ; ORCA_E_t          ; RDS_E_v           ; ORCA_E_v          ; RDS_N_ttg         ; ORCA_N_ttg        ; RDS_N_v           ; ORCA_N_v          ; RDS_rob_track_err ; ORCA_rob_track_err; RDS_ped_track_err ; ORCA_ped_track_err; RDS_collisions    ; ORCA_collisions   
1.00001; 1.00016; 1.0204; 1.01559; 1.00035; 1.00051; 0.818844; 0.834531; 0.181065; 0.738284; 0.11439; 0.127245; 0; 0
1.00062; 1.00067; 1.0547; 1.03964; 1.00024; 1.0006; 1.02839; 1.0539; 0.212512; 0.212739; 0.126613; 0.116257; 0; 0
0.999988; 1; 1.00724; 1.00511; 1.00004; 0.999891; 1.02645; 0.966254; 0.152418; 0.89902; 0.145547; 0.158488; 0; 0
0.999994; 1; 0.979975; 0.990077; 0.999999; 0.999985; 1.107; 1.16885; 0.11792; 1.50724; 0.221315; 0.331214; 0; 0
1; 1.00006; 1.03316; 1.03375; 1.00007; 0.999972; 1.07235; 1.07861; 0.881769; 4.21334; 0.130167; 0.181115; 0; 0
1.00005; 1.00042; 1.01165; 0.999924; 0.999119; 0.999841; 1.19221; 1.23174; 0.0767415; 0.315212; 0.0969071; 0.144226; 0; 0
0.99994; 0.999957; 0.997916; 0.990724; 0.999879; 0.9999; 1.08739; 0.990609; 0.698474; 6.86896; 0.187985; 0.248201; 0; 0
0.999798; 1.00012; 1.00369; 0.988947; 1.00006; 0.999856; 1.07635; 0.998952; 0.374043; 3.19999; 0.174928; 0.316213; 0; 0
1.00008; 1.00011; 1.00073; 0.991519; 0.999829; 0.999697; 0.718311; 0.774546; 0.231; 0.377134; 0.156509; 0.173368; 0; 0
1.00001; 1; 0.998606; 0.993415; 0.999973; 1.00001; 1.10811; 1.11794; 0.590453; 1.62317; 0.224428; 0.216513; 0; 0
1.00001; 1.0001; 0.987342; 0.98826; 1.00001; 0.999665; 1.13657; 1.17428; 0.194667; 1.73827; 0.286594; 0.299898; 0; 0
1.00002; 1.00003; 0.997907; 0.997038; 0.99991; 0.999874; 1.07923; 1.10035; 0.385129; 1.85436; 0.2012; 0.231656; 0; 0
1.00005; 1.00005; 1.00406; 0.987205; 0.999902; 0.999927; 1.08391; 1.05578; 0.596596; 1.38938; 0.174136; 0.238921; 0; 0
1.00004; 1.00007; 0.982198; 0.989268; 0.999923; 0.999834; 0.9612; 0.929188; 0.150817; 0.164238; 0.177709; 0.172664; 0; 0
1.00002; 1.00001; 0.993521; 0.988805; 1.00004; 1.00007; 1.04365; 1.03145; 0.457937; 0.263604; 0.139385; 0.153892; 0; 0
1.00001; 1.00002; 0.99479; 0.990532; 1; 0.999942; 0.826662; 0.88645; 0.180283; 0.465759; 0.136647; 0.160723; 0; 0
0.999978; 0.999922; 1.02388; 1.02056; 1.00003; 0.999941; 1.01044; 0.948093; 0.646811; 2.20901; 0.147789; 0.175984; 0; 0
0.999952; 0.999989; 1.00247; 0.993864; 0.99978; 0.999468; 0.970417; 1.01853; 0.382629; 0.313581; 0.111256; 0.140099; 0; 0
1; 1; 1.00689; 1.00337; 1; 0.999998; 1.13527; 1.03411; 0.430092; 3.55301; 0.183351; 0.175893; 0; 0
1; 1; 1.01072; 1.00129; 1.00003; 1.00003; 1.10137; 0.98234; 1.718; 3.01708; 0.209111; 0.264778; 0; 0
0.999994; 1; 1.00114; 1.00117; 1.00002; 0.999953; 0.960834; 0.852708; 1.45922; 2.5086; 0.105747; 0.12414; 0; 0
0.999983; 1.00004; 1.00403; 1.00179; 1.00008; 0.999703; 0.812426; 0.795346; 1.53979; 2.29778; 0.101582; 0.151513; 0; 0
1.00008; 1.00024; 1.00048; 0.999375; 1.00003; 0.999943; 1.22612; 1.22204; 0.165749; 2.08616; 0.208886; 0.242252; 0; 0
1.00007; 1.00001; 1.03044; 1.02259; 0.999777; 1.00001; 0.938985; 0.819216; 0.994955; 2.35374; 0.151473; 0.125668; 0; 0
1.00001; 1.00001; 1.00928; 1.00816; 1.00027; 1.0002; 0.976079; 0.994507; 0.140343; 0.627121; 0.164486; 0.170668; 0; 0
1; 1.00001; 1.01623; 1.01815; 1.00001; 0.999917; 1.04528; 0.992877; 0.193953; 1.26226; 0.159126; 0.159595; 0; 0
1.00002; 1; 1.01353; 1.00747; 1.00002; 1.00005; 1.05635; 0.997368; 2.97147; 6.04147; 0.193229; 0.191846; 0; 0
1; 1.00001; 1.0077; 1.00033; 0.999971; 0.999961; 1.11837; 1.22935; 0.526343; 0.934332; 0.160882; 0.212393; 0; 0
0.999985; 1.00004; 0.996035; 0.993074; 1.00018; 1.00006; 1.14747; 1.07886; 0.632673; 2.61882; 0.202256; 0.204543; 0; 0
1; 1.00002; 1.00812; 1.00469; 1.00008; 1.00003; 1.14671; 1.17711; 0.237765; 2.56235; 0.188974; 0.211655; 0; 0
1.00031; 1.00006; 1.02801; 1.02552; 0.998205; 0.99886; 0.998633; 1.1042; 1.4329; 1.74801; 0.19279; 0.185192; 0; 0
0.99996; 1.00002; 1.02701; 1.02163; 0.999792; 0.999475; 0.772578; 0.96104; 0.520291; 1.46927; 0.137837; 0.144349; 0; 0
1.00001; 1.00001; 1.01431; 1.00684; 1.00001; 0.999985; 1.29132; 1.08403; 0.226824; 3.09491; 0.161161; 0.191794; 0; 0
0.999893; 0.999941; 1.03152; 1.01473; 0.99986; 0.99945; 1.27995; 1.16915; 0.382858; 1.85189; 0.197391; 0.190542; 0; 0
1.00008; 1.00011; 1.00798; 1.02299; 0.99876; 0.998656; 0.697358; 0.767113; 0.287836; 1.3665; 0.140366; 0.174015; 0; 0
1.00009; 1.0003; 1.00645; 1.01324; 0.998811; 0.998518; 0.628324; 0.690205; 0.469591; 1.10008; 0.172788; 0.196739; 0; 0
1.00001; 0.999999; 1.00699; 0.991233; 1.00003; 1.00002; 1.04705; 1.03687; 0.105669; 1.24539; 0.250623; 0.291197; 0; 0
1.00007; 1.00017; 0.99961; 1.00491; 0.999917; 1.00003; 1.28633; 1.19206; 0.970533; 5.02712; 0.314986; 0.347359; 0; 0
1.00001; 1.00003; 1.00934; 0.996964; 1; 0.99996; 1.26875; 1.24258; 0.127907; 2.85252; 0.275129; 0.380508; 0; 0
1.00004; 1.00004; 1.00998; 0.9856; 0.999621; 0.999505; 0.667802; 0.720188; 0.462845; 1.02848; 0.138998; 0.192602; 0; 0
1; 1.00001; 0.98669; 0.98191; 1.00003; 1.00002; 1.23088; 1.3568; 0.15332; 0.312323; 0.249419; 0.250278; 0; 0
0.99995; 1.00019; 1.01608; 1.02496; 1.00038; 0.999637; 1.1403; 1.09317; 0.347675; 5.30124; 0.332991; 0.411483; 0; 0
1.00004; 0.999965; 0.979222; 0.96752; 0.999753; 0.999846; 0.885033; 0.807244; 0.163407; 0.679056; 0.322397; 0.312963; 0; 0
1.00002; 1.00008; 1.00765; 1.01745; 1.00003; 0.99998; 1.15696; 1.05611; 1.64987; 6.56116; 0.297745; 0.317392; 0; 0
0.999975; 0.999959; 0.988952; 1.00346; 1.00001; 1.00009; 1.17697; 1.17292; 0.875702; 5.25515; 0.646837; 0.463594; 0; 0
1.00007; 1.00007; 0.992443; 0.985441; 0.999843; 1.00004; 1.1857; 1.15975; 0.520237; 3.26797; 0.365659; 0.389678; 0; 0
0.99997; 0.999983; 0.995766; 0.990164; 0.999967; 0.999997; 1.17929; 1.16313; 0.693002; 5.61744; 0.340135; 0.395492; 0; 0
1.00003; 1.00007; 1.00659; 0.994865; 0.999903; 0.999957; 1.14787; 1.13554; 0.344969; 4.93093; 0.306279; 0.342684; 0; 0
0.99996; 1.00006; 0.998012; 0.999068; 1.00017; 1.00031; 1.20203; 1.07297; 0.397348; 2.61904; 0.353393; 0.3871; 0; 0
1.00001; 1.00011; 1.0099; 1.00166; 1.00001; 0.999994; 0.856591; 0.848067; 2.64205; 7.12504; 0.319707; 0.372721; 0; 0
0.999988; 0.999986; 0.997766; 0.997334; 0.999958; 0.999969; 0.834528; 0.872473; 0.210684; 0.970261; 0.247982; 0.249823; 0; 0
0.999981; 0.999985; 0.999783; 0.986293; 1.00006; 0.999836; 1.22876; 1.19069; 0.321097; 2.81064; 0.2677; 0.335053; 0; 0
1.00001; 1; 1.00137; 1.01149; 0.999998; 1; 1.18801; 1.09481; 0.68231; 3.48696; 0.372779; 0.315877; 0; 0
0.999979; 0.999985; 0.993741; 0.98328; 1.00001; 0.999768; 1.03838; 1.0373; 2.50097; 6.37017; 0.493944; 0.461264; 0; 0
1.00001; 0.999973; 1.00424; 0.997334; 1.00011; 0.999967; 1.08529; 1.14261; 0.930209; 1.20004; 0.257032; 0.329111; 0; 0
1.00001; 1; 0.99455; 0.987596; 1.00001; 0.999973; 1.08542; 0.930017; 0.828913; 8.38139; 0.282159; 0.2658; 0; 0
0.999976; 1.00009; 1.01183; 0.991679; 0.999933; 0.999329; 1.09772; 1.03648; 0.2091; 9.34816; 0.203559; 0.2544; 0; 0
1.00005; 1.00002; 1.01011; 1.00522; 0.999835; 0.999943; 1.24933; 1.32133; 0.156326; 0.784947; 0.161531; 0.179931; 0; 0
1.00001; 1.0001; 1.01018; 1.00849; 1.00018; 0.999919; 1.26017; 1.27181; 0.167068; 0.704567; 0.147883; 0.176622; 0; 0
1; 1.00003; 1.00359; 0.999231; 1.00006; 0.999955; 1.16647; 1.18886; 0.212338; 1.06336; 0.127265; 0.14299; 0; 0
1.00003; 1.00019; 0.996372; 0.99275; 0.999994; 0.999067; 1.12897; 1.16328; 0.549282; 0.922361; 0.131982; 0.162392; 0; 0
1.00017; 1.00015; 1.00866; 1.00413; 0.999367; 0.999607; 0.859154; 0.823732; 1.18011; 1.64085; 0.194514; 0.209593; 0; 0
0.999922; 1.0001; 0.980633; 1.00946; 0.999936; 0.999419; 0.915553; 0.884016; 0.210909; 1.59643; 0.188085; 0.312162; 0; 0
1; 1.00005; 0.998219; 0.985222; 0.999929; 0.999932; 1.13839; 1.16211; 0.686616; 1.42458; 0.246273; 0.365621; 0; 0
1.00005; 0.999883; 0.988375; 0.987433; 0.999874; 1.00003; 1.13543; 1.18809; 0.894787; 1.4421; 0.258772; 0.252028; 0; 0
0.999995; 1; 0.997098; 0.997903; 0.999996; 0.999969; 1.14586; 1.16391; 0.362753; 1.79352; 0.28985; 0.273315; 0; 0
1; 1.00006; 1.009; 1.00987; 0.99994; 0.999459; 1.27648; 1.27147; 0.151711; 0.431166; 0.215834; 0.227165; 0; 0
0.999988; 0.99999; 0.966135; 0.980852; 0.999981; 0.999974; 1.04677; 1.07921; 1.4329; 3.42362; 0.249359; 0.261013; 0; 0
0.999948; 1.00025; 1.00053; 0.998418; 0.999538; 0.998199; 0.998426; 1.2238; 0.859643; 4.63203; 0.199277; 0.266772; 0; 0
1.00001; 1.00004; 0.987473; 0.998215; 0.999936; 0.999912; 1.1056; 1.01999; 1.11642; 5.84811; 0.319788; 0.291945; 0; 0
0.999999; 0.999994; 1.00814; 0.996056; 0.999982; 0.999974; 1.05546; 1.11613; 0.804861; 3.29881; 0.22086; 0.273853; 0; 0
1.00002; 0.999989; 0.998825; 0.996468; 0.999952; 0.999981; 0.970606; 1.01972; 0.100083; 1.00754; 0.236419; 0.264202; 0; 0
1.00019; 1.00015; 1.00597; 0.983475; 0.999234; 0.997777; 0.810523; 0.715996; 1.21242; 2.69547; 0.18161; 0.19768; 0; 0
1.00005; 1.00013; 0.987348; 0.972648; 0.999885; 0.999695; 0.749793; 0.770858; 0.291068; 1.27734; 0.199548; 0.267125; 0; 0
0.999993; 1.00001; 0.985269; 0.984839; 0.999998; 0.99999; 1.08953; 1.18409; 0.216158; 1.87307; 0.225178; 0.258612; 0; 0
0.999966; 0.999961; 1.00647; 0.986842; 0.999833; 1.00005; 1.07244; 1.11115; 0.0855224; 3.59132; 0.181456; 0.273453; 0; 0
0.999999; 1.00005; 1.00562; 0.999708; 0.9999; 0.999702; 1.10164; 1.17451; 0.412191; 1.14462; 0.188776; 0.234563; 0; 0
0.999996; 1.00001; 1.00508; 0.99432; 0.999989; 0.999931; 1.01906; 1.144; 0.0521238; 1.97682; 0.200397; 0.274661; 0; 0
1.00002; 1.00013; 1.02389; 0.998601; 0.999659; 0.999706; 1.28372; 1.02664; 0.380356; 3.01835; 0.166894; 0.248765; 0; 0
1.00001; 1.00001; 0.998344; 1.01358; 0.999974; 0.999958; 1.10679; 1.02761; 0.165175; 2.56159; 0.189176; 0.229038; 0; 0
1.00011; 1.00014; 1.01193; 1.00453; 0.999873; 0.999833; 1.20959; 1.07349; 0.348067; 2.23052; 0.166724; 0.189343; 0; 0
1.00001; 1.00002; 0.972957; 0.965695; 0.99994; 0.999941; 0.858101; 0.878868; 0.72295; 1.21525; 0.22063; 0.282028; 0; 0
