RDS_E_t           ; ORCA_E_t          ; RDS_E_v           ; ORCA_E_v          ; RDS_N_ttg         ; ORCA_N_ttg        ; RDS_N_v           ; ORCA_N_v          ; RDS_rob_track_err ; ORCA_rob_track_err; RDS_ped_track_err ; ORCA_ped_track_err; RDS_collisions    ; ORCA_collisions   
1; 1; 0.999963; 0.999532; 1.00035; 1.00035; 0.820683; 0.832987; 0.18471; 1.27063; 0.0984977; 0.0988004; 0; 0
1.00059; 1.00094; 1.03248; 1.01349; 1.00021; 0.998677; 1.02773; 1.05108; 0.194139; 1.4719; 0.0993093; 0.1004; 0; 0
0.999985; 1.00004; 1.00015; 0.995173; 1.00005; 0.999822; 1.00678; 0.925931; 0.16546; 1.45229; 0.140908; 0.154048; 0; 0
0.999996; 0.999996; 0.99154; 0.992814; 0.999997; 0.999998; 1.12875; 1.24331; 0.377009; 2.10098; 0.235837; 0.235537; 0; 0
1; 0.999974; 1.00249; 0.998279; 1.00005; 0.999868; 1.06473; 1.06189; 1.00437; 5.6856; 0.125897; 0.145972; 0; 0
1.00003; 1.0004; 1.01541; 1.00377; 0.999119; 0.999932; 1.19221; 1.23938; 0.0836164; 0.302357; 0.0695269; 0.120176; 0; 0
0.99989; 0.999991; 0.994825; 0.984244; 1.00008; 1.00007; 1.09976; 0.990359; 1.08465; 6.30292; 0.169515; 0.258814; 0; 0
0.999844; 1.00005; 0.996945; 0.992718; 1.00003; 0.999942; 1.05673; 0.942978; 0.474095; 1.755; 0.18525; 0.265502; 0; 0
1.00008; 1.00007; 1.00634; 0.999836; 0.999804; 0.999833; 0.81206; 0.705876; 0.980307; 0.283542; 0.161193; 0.159123; 0; 0
1.00001; 1; 0.999839; 0.992871; 0.999971; 1.00001; 1.10722; 1.10112; 0.822015; 2.0373; 0.207422; 0.210583; 0; 0
1.00002; 1.00002; 0.994897; 0.987046; 0.999939; 0.999998; 1.15194; 1.13341; 1.42392; 2.42663; 0.240435; 0.251801; 0; 0
1; 0.999999; 0.999965; 0.993653; 0.999972; 0.999984; 1.01253; 1.11048; 1.28016; 2.70666; 0.186545; 0.215038; 0; 0
1.00004; 1.00008; 0.998588; 0.991704; 0.999878; 0.99985; 1.04149; 1.06343; 1.97559; 3.8628; 0.199145; 0.280283; 0; 0
1.00003; 1.00006; 0.998131; 0.99754; 0.999918; 0.999743; 0.847627; 0.924552; 0.324413; 0.14603; 0.14678; 0.148628; 0; 0
1.00002; 1.00001; 0.997773; 0.994516; 1; 1.00007; 1.05093; 1.04449; 0.559865; 0.384252; 0.130089; 0.143653; 0; 0
1.00001; 1.00001; 1.00072; 0.997879; 1; 0.999999; 0.82524; 0.890405; 0.181976; 0.51324; 0.124938; 0.147008; 0; 0
0.999947; 0.999931; 1.00057; 1.00334; 1.00005; 1.00005; 1.00337; 0.992267; 0.745655; 2.06147; 0.134174; 0.176425; 0; 0
1; 1.00004; 0.998328; 0.988999; 0.999822; 0.999468; 0.925361; 1.01853; 0.597212; 0.240037; 0.103477; 0.114487; 0; 0
1; 1.00001; 1.00095; 0.997933; 0.999981; 0.999986; 1.13123; 1.03509; 0.744264; 5.40491; 0.191291; 0.185997; 0; 0
1; 1.00002; 1.00461; 1.00073; 1.00003; 0.999953; 1.07485; 1.11888; 1.59677; 2.08949; 0.20106; 0.287277; 0; 0
1.00001; 1.00001; 1.00228; 1.00021; 0.999969; 0.999961; 0.854633; 0.859646; 2.0829; 2.05368; 0.0897906; 0.0969151; 0; 0
0.999981; 1.00003; 0.995256; 0.993887; 1.00008; 0.999704; 0.88086; 0.80145; 1.22483; 1.97473; 0.0942255; 0.143064; 0; 0
1.00001; 1.00004; 0.998333; 0.995609; 1.00002; 0.999901; 1.2014; 1.21109; 0.275731; 1.78318; 0.160822; 0.200708; 0; 0
0.999992; 1.00004; 0.997597; 0.997316; 0.999987; 0.999869; 0.93468; 0.769709; 1.09413; 2.16778; 0.112581; 0.11272; 0; 0
1.00015; 1; 0.998484; 1.00054; 1.00004; 1.00026; 0.93313; 0.970525; 0.100329; 0.512255; 0.196517; 0.152823; 0; 0
1; 1.00021; 1.00117; 0.994787; 1.00001; 0.999551; 1.04653; 0.97309; 0.577718; 5.63443; 0.144316; 0.200497; 0; 0
1; 1; 1.00341; 0.984668; 1.00008; 1.00003; 1.04587; 1.05623; 3.09565; 5.91165; 0.18674; 0.235206; 0; 0
1; 1; 0.999917; 0.992608; 0.999999; 1.00001; 1.12794; 1.03448; 1.07576; 3.26897; 0.160344; 0.181828; 0; 0
0.999947; 1.00011; 0.99849; 0.987868; 1.00017; 1.00017; 1.18807; 0.974577; 1.09942; 4.14488; 0.172737; 0.208314; 0; 0
1; 1.00002; 1.00312; 0.994318; 1.00008; 0.999939; 1.1451; 1.15614; 0.257168; 2.19523; 0.182646; 0.248571; 0; 0
1.00041; 1.00019; 1.00075; 0.995396; 0.99886; 1.00004; 0.947763; 1.11847; 1.16288; 1.70636; 0.166151; 0.151307; 0; 0
1; 1.00011; 1.01141; 1.01565; 0.999792; 0.999431; 0.759851; 1.01052; 0.539675; 1.37707; 0.114697; 0.119638; 0; 0
1.00003; 1.00001; 0.990552; 0.993979; 0.999998; 0.999965; 1.29877; 0.813037; 0.726822; 7.96817; 0.167569; 0.209887; 0; 0
0.999869; 1.00033; 1.00236; 0.993751; 0.999852; 0.99973; 1.27956; 0.983842; 0.387742; 4.51578; 0.197227; 0.233811; 0; 0
1; 0.999999; 1.00131; 0.994341; 0.998882; 0.99947; 0.728075; 0.857825; 0.37438; 2.17168; 0.114917; 0.102191; 0; 0
1.00018; 1.00032; 1.01317; 1.01007; 0.998819; 0.998648; 0.627607; 0.699724; 0.39569; 0.965508; 0.14867; 0.166422; 0; 0
1; 0.999997; 0.999728; 0.997715; 1.00002; 1.00002; 1.035; 1.07191; 0.373325; 1.1798; 0.234456; 0.239297; 0; 0
1.00014; 1.00018; 1.00077; 1.00161; 1.00015; 0.999975; 1.2428; 1.29782; 2.14067; 3.26187; 0.241422; 0.317022; 0; 0
1.00001; 0.999972; 1.0005; 0.982877; 0.999992; 1.00002; 1.2754; 1.28687; 0.282269; 2.31142; 0.220937; 0.262828; 0; 0
1.00008; 1.00006; 1.00982; 0.987163; 0.999612; 0.999527; 0.695797; 0.7305; 0.465976; 0.776556; 0.118625; 0.152624; 0; 0
1; 0.999992; 0.999906; 0.994783; 1.00003; 1.00003; 1.22506; 1.26182; 0.133019; 0.329644; 0.23553; 0.25417; 0; 0
1.0001; 1.00006; 1.0008; 0.993991; 1.00006; 1.00026; 1.11351; 1.14026; 0.301244; 5.27806; 0.364502; 0.362016; 0; 0
1.00003; 1.00004; 0.984028; 0.9732; 0.99976; 0.999523; 0.897647; 0.728774; 0.160999; 0.9688; 0.302486; 0.306799; 0; 0
0.99994; 1.00007; 1.00102; 1.00796; 1.00009; 0.99995; 1.09907; 1.03492; 2.70168; 6.21938; 0.276838; 0.314243; 0; 0
0.999933; 1.00005; 0.999101; 0.993348; 1.00002; 0.999974; 1.13743; 1.12786; 1.22899; 5.72446; 0.445356; 0.480932; 0; 0
1.00002; 1.00009; 0.986129; 0.988756; 1.00001; 0.999928; 1.15123; 1.08154; 1.41947; 7.76786; 0.356948; 0.33515; 0; 0
1.00002; 0.999977; 1.00151; 0.999243; 0.999974; 0.999997; 1.17547; 1.01329; 0.556414; 8.74953; 0.324663; 0.390723; 0; 0
1.00001; 1.00007; 0.999735; 0.996511; 0.999878; 0.999961; 1.11049; 1.07125; 0.568403; 6.1037; 0.275085; 0.307744; 0; 0
0.999937; 1.00002; 0.992729; 0.990077; 1.00014; 1.00011; 1.20437; 1.12743; 0.500768; 5.24178; 0.35403; 0.363348; 0; 0
1.00012; 0.999891; 0.992501; 0.995316; 1.00005; 1.00001; 0.851525; 0.834127; 3.11151; 9.46752; 0.365314; 0.294718; 0; 0
1; 0.999991; 1.00156; 0.998684; 0.999954; 0.999971; 0.841167; 0.822891; 0.252316; 1.05126; 0.242232; 0.262003; 0; 0
0.999974; 0.999999; 0.990746; 0.990378; 1.00006; 0.999955; 1.23639; 1.08108; 0.361955; 6.22153; 0.250728; 0.264076; 0; 0
1; 1; 0.996373; 0.995835; 1; 0.999989; 1.13564; 1.00422; 2.80165; 7.82324; 0.346146; 0.352667; 0; 0
0.999937; 0.999958; 0.986702; 0.987477; 0.999988; 1.00007; 1.04639; 1.08047; 4.41249; 1.79088; 0.417893; 0.466284; 0; 0
0.999993; 1.00013; 1.00382; 1.00008; 1.00002; 0.999749; 1.09208; 1.13719; 3.41405; 0.920585; 0.234411; 0.293407; 0; 0
0.999997; 1; 0.994573; 0.984758; 1.00002; 1.00001; 1.0977; 1.07356; 1.0465; 2.52971; 0.198775; 0.234856; 0; 0
0.999971; 1; 1.00043; 0.985825; 0.999935; 0.999812; 1.1015; 1.00233; 0.180948; 8.96824; 0.204481; 0.209788; 0; 0
1.00005; 1.00004; 0.999763; 0.998584; 0.999831; 0.999916; 1.25419; 1.30207; 0.170523; 1.0067; 0.146259; 0.168979; 0; 0
0.999999; 1.00002; 0.99918; 0.998595; 1.00018; 1.00018; 1.26318; 1.28154; 0.232817; 0.804661; 0.141972; 0.153506; 0; 0
1.00001; 1.00003; 0.999096; 0.994902; 1.00003; 0.999931; 1.16872; 1.23111; 0.211006; 0.86952; 0.124219; 0.131302; 0; 0
1.00009; 1.00013; 0.993287; 0.999057; 0.999429; 0.999237; 1.1366; 1.26204; 0.434339; 1.68091; 0.13012; 0.129421; 0; 0
1.0001; 1.00013; 1.003; 1.00709; 0.999594; 0.999611; 0.868951; 0.82492; 0.21942; 1.31759; 0.165233; 0.170393; 0; 0
0.999899; 1.00004; 0.987039; 0.985506; 1.00002; 0.999538; 0.915228; 0.970986; 0.250315; 1.67059; 0.165767; 0.250054; 0; 0
1; 1; 0.995849; 0.994371; 0.999991; 0.999998; 1.15; 1.18559; 0.931673; 1.46251; 0.241887; 0.268162; 0; 0
1.00018; 1.00004; 1.00891; 0.991865; 0.999764; 0.999847; 1.09696; 1.05209; 1.96414; 2.46424; 0.306096; 0.328815; 0; 0
0.999995; 0.999986; 1.01042; 0.998365; 0.999981; 1; 1.12293; 1.21453; 0.911388; 1.72665; 0.209635; 0.272388; 0; 0
1.00012; 1.00019; 1.00161; 1.00083; 1.00006; 0.999311; 1.27628; 1.28228; 0.132174; 0.400284; 0.199855; 0.205241; 0; 0
1.00001; 0.999997; 1.00044; 0.99123; 0.999945; 0.999943; 1.09496; 1.06266; 3.45867; 4.25155; 0.249552; 0.242662; 0; 0
0.99995; 1.00013; 0.999646; 0.995658; 0.999657; 0.998524; 1.00001; 1.19084; 0.917557; 4.64257; 0.18953; 0.269599; 0; 0
0.999995; 1.00002; 0.996076; 0.993436; 0.999985; 0.999959; 1.09946; 1.01366; 1.15186; 5.91283; 0.237545; 0.298927; 0; 0
0.999997; 0.999984; 1.00431; 1.0017; 0.999967; 0.999994; 1.06933; 1.03973; 1.00285; 2.49703; 0.239548; 0.233232; 0; 0
1.00006; 1.00001; 1.00116; 0.998779; 1.00002; 1.00006; 0.967552; 1.03298; 0.35785; 3.75496; 0.223027; 0.255783; 0; 0
1; 1; 0.997911; 0.98553; 0.999905; 0.999212; 0.904543; 0.669304; 0.570667; 3.02108; 0.170466; 0.175603; 0; 0
1.00005; 1.0001; 1.00515; 0.996102; 0.999759; 0.999668; 0.763737; 0.712075; 0.673611; 2.09509; 0.221538; 0.187501; 0; 0
1.00001; 0.999999; 0.994898; 0.996715; 0.999997; 0.999994; 1.14334; 1.07011; 1.01502; 1.33701; 0.229491; 0.236759; 0; 0
0.999934; 0.999986; 0.998799; 0.990644; 1.00004; 1; 0.998485; 1.05639; 1.90924; 4.17792; 0.189027; 0.236992; 0; 0
1.00005; 0.999929; 1.00022; 0.992731; 0.999807; 1.00017; 1.09056; 1.02335; 0.416654; 3.45439; 0.189162; 0.215606; 0; 0
0.999995; 1.00001; 0.998864; 0.995755; 1; 0.999905; 1.08903; 1.0927; 0.859276; 1.58471; 0.20716; 0.230766; 0; 0
0.999973; 1.00006; 1.00093; 0.99632; 1.00007; 0.999836; 1.19703; 1.23099; 1.11096; 1.80422; 0.15378; 0.177711; 0; 0
0.999999; 1.00002; 0.990455; 0.995381; 0.999984; 0.999958; 1.1033; 1.01249; 0.207165; 3.3131; 0.163454; 0.192005; 0; 0
1.00015; 1.00007; 0.991745; 0.996927; 0.999777; 1.00003; 1.26116; 1.10102; 0.600576; 2.08543; 0.174788; 0.144223; 0; 0
1.00001; 1.00001; 0.983169; 0.97963; 0.999931; 0.999993; 0.832013; 0.741212; 1.08121; 2.04672; 0.170897; 0.152788; 0; 0
0.999866; 0.999876; 0.995597; 0.987093; 1.00009; 0.999984; 0.936136; 0.96918; 0.576513; 6.2275; 0.249937; 0.366008; 0; 0
1.00001; 1.00025; 0.993335; 0.978497; 0.999781; 0.998991; 0.96104; 0.901971; 0.106136; 1.04653; 0.15373; 0.222311; 0; 0
1.00002; 1.00006; 0.996404; 0.984153; 0.999784; 0.999701; 0.939123; 0.718845; 0.445234; 3.56779; 0.191594; 0.199323; 0; 0
1.00001; 0.999988; 1.0001; 0.993053; 1.00015; 1.00011; 1.15954; 1.18569; 0.16436; 1.54756; 0.205269; 0.211098; 0; 0
0.999913; 0.999984; 1.00505; 0.999345; 1.00005; 1.00011; 1.23996; 1.29915; 2.52082; 5.53146; 0.313147; 0.316777; 0; 0
0.999931; 1.00008; 1.00351; 1.00397; 0.999904; 0.999312; 1.35289; 1.42773; 1.39831; 2.94338; 0.277678; 0.288574; 0; 0
1.00005; 0.99984; 1.00634; 0.998051; 0.999994; 1.00022; 1.19005; 1.14883; 1.69576; 4.10301; 0.455333; 0.389488; 0; 0
1; 1; 0.993965; 0.986637; 0.999983; 0.999995; 1.17481; 1.22284; 0.686389; 3.42334; 0.3183; 0.318416; 0; 0
1.00002; 1.00016; 1.01; 0.994573; 1.00019; 0.999928; 1.22167; 1.29778; 0.377295; 2.53991; 0.261943; 0.31545; 0; 0
1; 1.00001; 0.998725; 0.997551; 1.00001; 0.999958; 1.22035; 1.21584; 0.117984; 4.48857; 0.406437; 0.417477; 0; 0
0.999893; 0.999856; 0.996679; 0.993004; 0.999928; 0.999956; 1.15523; 1.31002; 3.55682; 8.16139; 0.399677; 0.36483; 0; 0
1; 0.99998; 0.99353; 0.994867; 0.999736; 0.99977; 1.08642; 1.10084; 0.701682; 1.08698; 0.278975; 0.276706; 0; 0
0.999974; 0.999974; 0.994397; 0.993982; 1.00008; 1.00028; 1.15632; 1.14583; 0.304101; 1.29858; 0.28389; 0.28296; 0; 0
1; 1.00003; 0.999711; 1.00126; 1.00012; 0.999874; 0.993792; 1.17673; 0.820318; 3.42813; 0.288199; 0.311815; 0; 0
1.00015; 1.00007; 0.998774; 0.999923; 0.999106; 0.999084; 1.16151; 1.20779; 0.663176; 1.24629; 0.21905; 0.219601; 0; 0
1; 1; 0.993157; 0.992729; 1.00001; 1; 1.14239; 1.25177; 2.01561; 3.83024; 0.164986; 0.189584; 0; 0
1; 0.999977; 0.997848; 0.998659; 1.00013; 1.00012; 1.0337; 1.17198; 0.472869; 3.09518; 0.20143; 0.208225; 0; 0
0.999999; 1; 0.997283; 0.999838; 0.999721; 0.999734; 1.28805; 1.25083; 0.351028; 1.39342; 0.178439; 0.183062; 0; 0
1; 1.0001; 1.00027; 0.996503; 0.99914; 0.999079; 1.17114; 1.26136; 0.643577; 1.15653; 0.139984; 0.138218; 0; 0
1; 1; 1.00029; 0.998859; 1; 0.999984; 1.24475; 1.14215; 0.279727; 2.90633; 0.093593; 0.10915; 0; 0
1.00005; 1.00001; 0.998712; 0.998177; 0.999855; 0.999928; 1.22825; 1.24293; 0.258156; 1.39152; 0.29186; 0.301996; 0; 0
1.00005; 1.00012; 0.994582; 0.99879; 0.999912; 1; 1.01373; 1.09994; 1.67519; 3.54006; 0.273254; 0.268393; 0; 0
0.999999; 0.999999; 0.999491; 0.997278; 1.00008; 1.00007; 1.12664; 1.1527; 0.695753; 1.18803; 0.231951; 0.241559; 0; 0
0.999977; 0.999971; 0.987253; 0.992694; 0.999995; 0.999962; 1.24508; 1.33521; 1.03315; 1.61598; 0.258838; 0.205486; 0; 0
1.00001; 1.00009; 0.979586; 0.998231; 0.999757; 0.999639; 1.17309; 1.26001; 1.68277; 1.46477; 0.252664; 0.262543; 0; 0
